Button      Key
%           %
(           (
)           )
*           *
+           +
+/-         F9
-           -
.           . or ,
/           /
0-9         0-9
1/x         r
=           ENTER
A-F         A-F
And         &
Ave         CTRL+A
Backspace   BACKSPACE
Bin         F8
Byte        F4
C           ESC
CE          DEL
cos         o
Dat         INS
Dec         F6
Degrees     F2
dms         m
Dword       F2
Exp         x
F-E         v
Grads       F4
Hex         F5
Hyp         h
Int         ;
Inv         i
ln          n
log         l
Lsh         <
M+          CTRL+P
MC          CTRL+L
Mod         %
MR          CTRL+R
MS          CTRL+M
n!          !
Not         ~
Oct         F7
Or          |(pipe)
pi          p
Qword       F12
Radians     F3
s           CTRL+D
sin         s
sqrt        @
Sta         CTRL+S
Sum         CTRL+T
tan         t
Word        F3
Xor         ^
x^2         @
x^3         #
x^y         y
